,State,Week,Babesiosis,Campylobacteriosis,"Carbapenemase-producing carbapenem-resistant Enterobacteriaceae, Enterobacter spp.","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae, Escherichia coli","Carbapenemase-producing carbapenem-resistant Enterobacteriaceae, Klebsiella spp.",Chlamydia trachomatis infection,Coccidioidomycosis,Cryptosporidiosis,"Dengue Virus Infections, Dengue","Dengue Virus Infections, Severe Dengue","Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection","Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection","Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection","Ehrlichiosis and Anaplasmosis, Undetermined Ehrlichiosis/Anaplasmosis",Giardiasis,Gonorrhea,"Haemophilus influenzae, invasive disease (all ages, all serotypes)","Hepatitis (viral, acute, by type), A","Hepatitis (viral, acute, by type), B","Hepatitis (viral, acute, by type), C, Confirmed","Hepatitis (viral, acute, by type), C, Probable","Invasive Pneumococcal Disease, Age LT 5, Confirmed","Invasive Pneumococcal Disease, Age LT 5, Probable","Invasive Pneumococcal Disease, all ages, Confirmed","Invasive Pneumococcal Disease, all ages, Probable",Legionellosis,Malaria,"Meningococcal disease, all serogroups",Mumps,Pertussis,"Rabies, animal",Rubella,"Rubella, congenital syndrome",Salmonellosis (excluding Paratyphoid fever andTyphoid fever),Shiga toxin-producing Escherichia coli,Shigellosis,"Spotted Fever Rickettsiosis, Confirmed","Spotted Fever Rickettsiosis, Probable","Syphilis, primary and secondary",Tetanus,Varicella morbidity,"Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed","Vibriosis (Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable","West Nile virus disease, Neuroinvasive","West Nile virus disease, Nonneuroinvasive","Zika virus disease, non-congenital",Person-to-Person Contact,Airborne Transmission,Droplet Spread,Vector-Borne Transmission,Vehicle-Borne Transmission,Population_Density(km²),GDP per capita,TAVE_D,AVE_TMIN_D,AVE_TMAX_D,Glaciers,Locales,Beaches,Areas,Lakes,Streams,Swamps,Forests,Plains,Woods,Mining and Logging,Construction,Manufacturing,"Trade, Transporation and Utilities",Information,Financial Activities,Professional and Business Services,Educational and Health services,Leisure and Hospitality,Other Services,Government
601,ALASKA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0,1,0.4982,63610,-5.2268,-9.9534,-0.5001,0,4056,3,14,496,6547,98,11,3,1,12700,15900,12500,64300,5600,11800,27100,50400,35600,11000,80400
602,ARIZONA,13,0,11,0,0,0,656,162,0,0,0,0,0,0,0,0,233,0,1,0,0,0,0,0,11,0,3,0,0,0,6,0,0,0,10,4,4,0,0,0,0,6,0,1,0,0,0,904,171,17,6,31,24.2052,39583,9.2316,1.5034,16.9598,0,1187,1,48,1154,4799,213,7,1,3,13100,158800,170100,534500,47400,220800,431100,445700,326600,92700,415200
603,ARKANSAS,13,0,7,0,0,0,64,0,0,0,0,0,0,0,0,5,31,2,0,2,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,102,2,8,5,17,22.3967,36714,12.6111,5.7802,19.4419,0,4280,1,74,433,2272,33,44,47,4,6000,50600,160500,251500,11200,60500,146200,191200,118600,53400,212200
604,CALIFORNIA,13,0,49,0,0,0,253,8,0,0,0,0,0,0,0,4,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,366,8,0,0,57,98.4741,60359,7.3876,2.2496,12.5256,20,14431,275,287,2646,9884,120,45,26,199,22900,859600,1325400,3051600,543700,836300,2663700,2726500,1986100,572100,2587400
605,COLORADO,13,0,12,0,0,0,536,0,0,0,0,0,0,0,0,7,122,3,0,1,1,1,1,0,19,0,1,0,0,2,18,0,0,0,0,13,3,0,0,1,0,7,0,1,0,0,0,685,21,43,7,40,21.1601,54026,2.1171,-4.1835,8.4176,16,3617,1,34,1435,5368,13,18,2,0,28300,172300,147600,469800,74900,170500,425600,340600,339900,110800,445000
606,CONNECTICUT,13,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,285.9964,62633,-0.1983,-4.8993,4.5027,0,1507,104,8,788,1480,180,37,1,8,500,58600,160300,296500,31900,126100,220500,334900,157700,65400,236700
607,DELAWARE,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,191.8949,63955,3.4036,-0.8857,7.6929,0,322,16,11,70,424,43,9,0,2,0,22300,27100,80100,4100,47500,63600,80100,51500,18600,66400
608,FLORIDA,13,0,0,0,0,0,1098,0,0,0,0,0,0,0,0,0,283,4,0,0,0,0,3,0,17,0,0,0,1,4,8,0,0,0,0,0,0,0,0,7,0,17,0,0,0,0,0,1408,12,37,17,7,152.5898,39842,18.7597,11.8057,25.7137,0,4190,60,5,4027,2942,1104,10,0,4,5800,540900,372000,1780900,139700,29700,167700,130800,1227100,354400,1112500
609,GEORGIA,13,0,31,0,0,0,499,0,1,0,0,0,0,0,0,0,183,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,696,0,9,0,38,70.3122,45925,14.0252,7.3311,20.7192,0,2874,7,21,800,5643,468,5,1,4,9500,196200,408000,943000,114600,576700,1366800,1305300,490600,159300,693800
610,HAWAII,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7465,52869,20.4389,17.0937,23.7841,0,745,318,152,75,560,14,62,1,4,0,36100,14200,122600,9100,248200,692400,584500,123900,28000,125600
611,IDAHO,13,0,10,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,22,8.1836,36441,1.0105,-3.6913,5.7122,0,4220,46,56,362,2016,19,19,0,1,3500,49100,68200,142500,8900,28800,82500,85800,78500,25500,124900
612,ILLINOIS,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,88.6923,55102,3.5465,-2.1876,9.2805,0,2504,19,35,1312,9098,17,14,7,7,7800,225800,588300,1216100,94400,36400,94200,105600,617300,254400,826300
613,INDIANA,13,0,0,0,0,0,349,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,443,0,0,0,3,72.1204,46427,2.9774,-3.2062,9.1609,0,2848,29,18,941,2701,65,51,1,179,6200,141300,542000,597500,29400,401800,951400,934000,309500,131800,429700
614,IOWA,13,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21.8421,52284,2.2635,-2.2821,6.809,0,965,3,2,797,3461,27,22,1,0,2500,77500,223000,312600,22000,138700,342700,475200,143600,57500,260700
615,KANSAS,13,0,1,0,0,0,174,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,3,4,13.7731,47435,7.2836,0.1286,14.4385,0,3745,0,1,101,2376,9,1,7,0,6800,61100,165100,268700,18700,109100,141000,234700,129700,50900,256200
616,KENTUCKY,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,41,0,0,0,0,1,3,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,9,0,43,43.4644,39277,6.9411,1.0747,12.8074,0,2410,0,22,228,11872,27,10,1,3,10000,78100,252100,403800,22000,77100,180000,199500,197600,65600,313700
617,LOUISIANA,13,0,9,0,0,0,612,0,2,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,788,0,2,0,21,41.5024,44372,18.2827,12.3432,24.2221,0,2073,7,45,1324,4124,299,4,1,1,35900,151100,134900,379500,22900,93000,217400,278300,236100,73900,327600
618,MAINE,13,0,0,0,0,0,62,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,66,1,4,3,3,16.7840,39521,-5.6018,-11.2575,0.0539,0,2203,248,6,1547,2049,515,93,8,14,2200,28900,52000,119100,7300,91100,213000,315500,68300,22200,100100
619,MARYLAND,13,1,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,11,0,1,0,0,1,0,3,0,0,9,4,2,0,0,0,0,0,0,0,0,0,0,14,3,14,4,23,240.1581,56375,2.2321,-2.6362,7.1004,0,2796,32,14,166,2035,219,12,0,7,1300,163100,108300,467400,36500,31900,69300,127200,281500,114700,504600
620,MASSACHUSETTS,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.6000,66500,-1.3862,-6.1304,3.358,0,1237,114,6,2803,4102,393,6,1,9,1100,157200,244100,579400,91500,144400,451000,471500,373000,138900,454500
621,MICHIGAN,13,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,67.9108,44201,-2.1181,-8.1629,3.9267,0,5147,44,7,6968,4598,219,46,0,2,7200,169200,629800,791400,55800,221500,583900,797900,433600,166600,606500
622,MINNESOTA,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,27.2961,54805,-1.6412,-7.1376,3.8553,0,3117,2,5,8783,1944,152,69,0,0,6700,122500,321400,537000,49300,219000,660600,679000,272800,113600,425500
623,MISSISSIPPI,13,0,4,0,0,0,530,0,2,0,0,0,0,0,0,0,194,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,730,0,5,0,7,24.5519,32447,14.6459,8.5062,20.7856,0,3703,2,237,586,5885,46,68,3,23,6900,43700,144900,231100,11000,184100,378100,543400,135500,41300,241300
624,MISSOURI,13,0,11,0,0,0,413,0,9,0,0,0,0,0,0,3,240,2,2,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,7,5,10,0,2,1,0,3,0,0,0,0,0,671,1,11,5,48,34.3913,43036,7.0144,2.1319,11.8968,0,2373,1,33,1002,4585,130,10,0,3,4400,122500,272800,543700,50500,44400,109800,145000,305900,115500,433700
625,MONTANA,13,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,11,2.8180,39833,0.2165,-4.7224,5.1553,58,5695,2,21,2087,9493,48,25,23,0,7200,28600,20500,94800,6300,173300,386500,478800,66000,18900,90400
626,NEBRASKA,13,0,7,0,0,0,46,0,0,0,0,0,0,0,0,4,17,2,0,0,0,0,0,0,5,0,0,1,0,0,3,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,69,3,10,3,13,9.7065,54654,2.7835,-2.0841,7.651,0,2611,36,46,229,9328,542,9,10,8,1100,52300,99700,201300,17700,24900,42700,77200,92200,36800,173500
627,NEVADA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,10.7465,44812,1.9435,-3.411,7.298,0,705,0,5,810,599,25,11,5,1,14500,89700,55500,255500,15600,73900,119200,155600,353400,42000,161000
628,NEW HAMPSHIRE,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,58.1468,52509,-5.523,-11.6314,0.5854,0,3674,5,6,1101,1460,71,3,1,1,1000,26900,70500,139300,12400,68200,190600,140600,72100,25400,90000
629,NEW JERSEY,13,0,0,0,0,0,329,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,470.2172,56776,1.8701,-2.5015,6.2416,0,782,23,5,865,1675,73,66,0,3,1400,157900,247400,888100,69700,34400,83200,125800,387200,171500,600500
630,NEW MEXICO,13,0,1,0,0,0,68,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,84,1,5,0,4,6.6517,41619,7.575,-1.3249,16.4748,0,1047,41,0,369,1394,68,17,0,6,24500,47200,27000,137600,11900,250500,672300,708200,98000,28900,186800
631,NEW YORK,13,0,18,0,0,0,938,0,1,0,0,0,0,0,0,12,185,1,0,0,2,1,0,0,14,1,1,0,0,2,8,17,0,0,0,5,3,0,1,14,0,0,0,0,0,0,0,1158,11,26,18,56,162.4294,65220,-3.4473,-9.0902,2.1956,0,7030,1,183,826,1936,14,36,6,1,5400,398400,443100,1563000,275200,34200,106400,139700,957800,413600,1488900
632,NORTH CAROLINA,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,82.3563,44706,9.9376,3.6352,16.24,0,3739,23,44,220,2335,21,13,14,4,5800,219500,474200,833300,80000,719100,1340700,2064600,502600,154300,733000
633,NORTH DAKOTA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2275,64311,-2.4854,-6.9082,1.9374,0,6071,138,23,3337,4422,417,64,1,16,20700,25900,25900,94200,6200,239600,634500,611600,40200,15200,82500
634,OHIO,13,0,30,0,0,0,439,0,13,0,0,0,0,0,0,6,156,3,0,2,0,0,2,0,33,2,4,0,0,0,8,0,0,0,15,6,10,0,0,0,0,14,1,0,0,0,0,644,12,48,14,83,110.2698,48188,1.5807,-4.1233,7.2846,0,4957,12,51,361,4244,83,28,0,20,12200,219300,698900,1024300,70800,24300,34600,63700,566400,213700,779200
635,OKLAHOMA,13,0,3,0,0,0,53,0,1,0,0,0,0,0,0,0,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,4,0,4,22.1568,44535,11.9822,4.2061,19.7582,0,1102,2,6,199,3347,7,2,0,0,53100,80300,137700,299200,19900,307900,731200,936100,171900,71500,347800
636,OREGON,13,0,11,0,0,0,417,1,3,0,0,0,0,0,0,2,119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,9,0,0,0,0,0,0,0,547,3,2,0,27,16.8907,51312,3.667,-1.1189,8.4528,37,7769,51,143,1810,12052,179,35,17,7,7300,104800,194900,352200,34200,79200,190400,236300,210700,64500,295000
637,PENNSYLVANIA,13,0,15,0,0,0,850,0,0,0,0,0,0,0,0,4,188,2,0,1,1,0,0,0,5,0,0,0,0,11,4,0,0,0,8,1,1,0,0,4,0,3,1,0,0,0,0,1050,15,22,3,36,110.4802,51841,-0.3272,-5.5893,4.9349,0,4765,5,100,525,7039,206,34,0,7,28600,255800,569400,1126800,85800,102000,249000,295100,571600,260400,702900
638,RHODE ISLAND,13,0,4,0,0,0,66,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,107,2,3,4,10,392.2098,48314,0.3272,-4.2186,4.8729,0,493,93,6,256,288,65,2,0,6,200,19200,40300,77400,5900,325500,804500,1274800,58700,23100,61000
639,SOUTH CAROLINA,13,0,0,0,0,0,705,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,945,0,0,4,2,65.2576,37637,13.2797,6.3851,20.1743,0,1896,25,11,461,3676,515,7,0,2,4400,102500,247800,406300,28200,35400,68500,106500,260300,76800,369000
640,SOUTH DAKOTA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4662,48004,-0.086,-4.4136,4.2416,0,1631,1,17,508,1490,30,4,1,5,1000,22900,44400,86800,5600,104200,292900,252900,47300,16800,79600
641,TENNESSEE,13,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,77,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,4,0,1,63.5357,44348,10.0599,3.5816,16.5382,0,3320,4,15,408,9850,44,15,2,6,4400,124800,350700,627200,45500,29200,32600,72800,338900,118300,435500
642,TEXAS,13,0,23,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,29,0,2,0,0,4,7,0,0,0,0,5,10,0,0,0,0,0,0,3,0,0,0,42,13,47,0,44,42.3336,53737,18.2915,11.4306,25.1524,0,8308,25,27,1847,11463,204,9,7,17,246500,739100,881100,2485300,204100,162500,416900,435600,1355600,433500,1951800
643,UTAH,13,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,136,0,0,0,4,14.8499,45943,2.1393,-3.5775,7.8561,1,1985,9,124,864,2429,11,16,45,31,9400,104100,133100,285800,38600,776900,1732900,1696800,149400,41200,247900
644,VERMONT,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,26.0450,44831,-8.0444,-14.8905,-1.1982,0,4166,31,14,110,7303,150,13,0,9,800,15100,29800,54300,4300,87700,215100,204200,37500,10200,56400
645,VIRGINIA,13,0,15,0,0,0,815,0,8,0,0,0,0,0,0,2,177,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,1,1,0,0,4,0,0,1,0,0,0,0,998,1,1,0,41,83.1382,52124,5.0968,-0.6904,10.884,1,701,2,2,436,1251,46,144,0,1,7900,197400,240100,659700,67200,12100,28900,66100,407800,201100,722500
646,WASHINGTON,13,0,9,0,0,0,577,0,0,0,0,0,0,0,0,0,170,0,3,0,2,0,0,0,0,0,2,0,1,0,12,0,0,0,0,0,11,0,0,5,0,0,0,1,0,0,0,765,14,13,0,31,43.6939,59333,4.2828,-0.8619,9.4275,185,4420,60,71,2970,6296,135,30,6,35,6300,213600,287900,637700,133900,207400,748600,541100,342600,122100,586700
647,WEST VIRGINIA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9131,37353,2.6356,-3.3245,8.5956,0,858,1,6,19,8574,6,11,0,2,22600,41100,47100,130000,8200,158000,425300,491800,74000,24300,152600
648,WISCONSIN,13,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,11,41.3619,48666,-0.8529,-7.1572,5.4515,0,2985,20,10,5265,3148,125,16,0,14,4800,122200,475500,543200,47300,29100,68900,128200,282600,152300,407800
649,WYOMING,13,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2.2813,61091,-0.1097,-6.0452,5.8259,37,2785,0,39,1249,5194,15,8,2,0,20700,20300,9800,52000,3600,152900,326800,456100,36100,16400,68900
650,ALABAMA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,37.1993,37508,15.3602,9.5348,21.1855,666,1282,116,188,3367,9303,9,7,5,1,10000,89100,267100,380700,21100,96400,244000,245300,205900,96700,385900
651,ALASKA,14,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,5,0.4982,63610,-6.1249,-12.1129,-0.1369,0,4056,3,14,496,6547,98,11,3,1,12700,15900,12500,64300,5600,11800,27100,50400,35600,11000,80400
652,ARIZONA,14,0,5,0,0,0,633,157,1,0,0,0,0,0,0,1,178,4,0,0,0,0,1,0,18,0,0,0,0,1,1,0,0,0,7,2,5,0,0,0,0,4,0,1,0,0,0,835,159,25,4,22,24.2052,39583,10.8153,3.2606,18.37,0,1187,1,48,1154,4799,213,7,1,3,13100,158800,170100,534500,47400,220800,431100,445700,326600,92700,415200
653,ARKANSAS,14,0,8,0,0,0,284,0,0,0,0,1,1,0,0,0,120,3,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,3,4,0,3,0,0,1,0,0,0,0,0,415,1,10,6,15,22.3967,36714,15.2058,9.5497,20.8619,0,4280,1,74,433,2272,33,44,47,4,6000,50600,160500,251500,11200,60500,146200,191200,118600,53400,212200
654,CALIFORNIA,14,0,44,0,0,0,367,11,0,0,0,0,0,0,0,5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,5,0,0,0,0,0,0,0,538,11,0,0,58,98.4741,60359,9.3717,2.73,16.0133,20,14431,275,287,2646,9884,120,45,26,199,22900,859600,1325400,3051600,543700,836300,2663700,2726500,1986100,572100,2587400
655,COLORADO,14,0,9,0,0,0,414,0,2,0,0,0,0,0,0,3,83,2,0,0,0,0,0,0,19,0,0,0,0,0,11,0,0,0,4,7,1,0,0,3,0,4,0,0,0,0,0,520,11,32,4,29,21.1601,54026,3.6533,-2.4033,9.7099,16,3617,1,34,1435,5368,13,18,2,0,28300,172300,147600,469800,74900,170500,425600,340600,339900,110800,445000
656,CONNECTICUT,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,285.9964,62633,3.715,-1.5354,8.9653,0,1507,104,8,788,1480,180,37,1,8,500,58600,160300,296500,31900,126100,220500,334900,157700,65400,236700
657,DELAWARE,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,191.8949,63955,6.0536,0.7286,11.3786,0,322,16,11,70,424,43,9,0,2,0,22300,27100,80100,4100,47500,63600,80100,51500,18600,66400
658,FLORIDA,14,0,84,0,0,0,1116,0,6,0,0,0,1,0,0,0,320,7,0,0,0,0,2,0,15,0,4,0,0,1,7,0,0,0,0,16,22,0,1,6,0,32,2,1,0,0,0,1481,12,32,34,137,152.5898,39842,18.994,12.6469,25.3411,0,4190,60,5,4027,2942,1104,10,0,4,5800,540900,372000,1780900,139700,29700,167700,130800,1227100,354400,1112500
659,GEORGIA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.3122,45925,12.6946,6.7497,18.6394,0,2874,7,21,800,5643,468,5,1,4,9500,196200,408000,943000,114600,576700,1366800,1305300,490600,159300,693800
660,HAWAII,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.7465,52869,20.062,16.0157,24.1082,0,745,318,152,75,560,14,62,1,4,0,36100,14200,122600,9100,248200,692400,584500,123900,28000,125600
661,IDAHO,14,0,6,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,17,8.1836,36441,1.5351,-3.8112,6.8813,0,4220,46,56,362,2016,19,19,0,1,3500,49100,68200,142500,8900,28800,82500,85800,78500,25500,124900
662,ILLINOIS,14,0,1,0,0,0,74,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,1,88.6923,55102,4.6144,0.0459,9.1829,0,2504,19,35,1312,9098,17,14,7,7,7800,225800,588300,1216100,94400,36400,94200,105600,617300,254400,826300
663,INDIANA,14,0,0,0,0,0,451,0,0,0,0,0,0,0,0,0,116,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,569,0,1,1,3,72.1204,46427,5.0589,0.4206,9.6972,0,2848,29,18,941,2701,65,51,1,179,6200,141300,542000,597500,29400,401800,951400,934000,309500,131800,429700
664,IOWA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8421,52284,2.1686,-2.017,6.3542,0,965,3,2,797,3461,27,22,1,0,2500,77500,223000,312600,22000,138700,342700,475200,143600,57500,260700
665,KANSAS,14,0,1,0,0,0,132,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,1,2,13.7731,47435,9.1599,3.1945,15.1253,0,3745,0,1,101,2376,9,1,7,0,6800,61100,165100,268700,18700,109100,141000,234700,129700,50900,256200
666,KENTUCKY,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,35,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,18,0,37,43.4644,39277,9.0655,4.6178,13.5132,0,2410,0,22,228,11872,27,10,1,3,10000,78100,252100,403800,22000,77100,180000,199500,197600,65600,313700
